mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	10
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	7
1	1	1	1	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	3
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	0
1	1	3/2	3/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	11
1	1	2	2	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3	12
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	8
1	1	2	2	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		4	64	E4	4	4
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	1
1	1	5/2	5/2	1.0	5/8	5/8	4/4	1	2	1/4	1/4	1		1	67	G4	4	5
1	1	3	3	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	13
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	9
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	2
1	1	7/2	7/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	6
2	2	4	4	2.0	0	0	4/4	2	2	1/2	1/2	1		1	55	G3	3	20
2	2	4	4	2.0	0	0	4/4	2	1	1/2	1/2	1		2	62	D4	4	18
2	2	4	4	2.0	0	0	4/4	1	2	1/2	1/2	1		1	67	G4	4	16
2	2	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	14
2	2	7	7	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		1	43	G2	2	21
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	19
2	2	7	7	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	17
2	2	7	7	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	15
3	3	8	8	1.0	0	0	4/4	2	2	1/4	1/4	1		3	45	A2	2	33
3	3	8	8	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	30
3	3	8	8	0.5	0	0	4/4	1	2	1/8	1/8	1		1	67	G4	4	25
3	3	8	8	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	22
3	3	17/2	17/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	26
3	3	9	9	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		5	47	B2	2	34
3	3	9	9	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	31
3	3	9	9	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	27
3	3	9	9	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	23
3	3	19/2	19/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	35
3	3	10	10	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		2	50	D3	3	36
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	32
3	3	10	10	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	28
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	24
3	3	11	11	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	29
4	4	13	13	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	48
4	4	13	13	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	44
4	4	13	13	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	40
4	4	13	13	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	37
4	4	27/2	27/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	45
4	4	14	14	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3	49
4	4	14	14	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	46
4	4	14	14	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		6	66	F#4	4	41
4	4	14	14	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	38
4	4	29/2	29/2	1.0	5/8	5/8	4/4	1	2	1/4	1/4	1		4	64	E4	4	42
4	4	15	15	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	50
4	4	15	15	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	47
4	4	15	15	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	39
4	4	31/2	31/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	43
5	5	16	16	1.0	0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	65
5	5	16	16	0.5	0	0	4/4	2	1	1/8	1/8	1		3	57	A3	3	58
5	5	16	16	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4	54
5	5	16	16	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	51
5	5	33/2	33/2	1.0	1/8	1/8	4/4	2	1	1/4	1/4	1		1	55	G3	3	59
5	5	17	17	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	66
5	5	17	17	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	55
5	5	17	17	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	52
5	5	35/2	35/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54	F#3	3	60
5	5	18	18	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		4	52	E3	3	67
5	5	18	18	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		1	55	G3	3	61
5	5	18	18	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	56
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	53
5	5	37/2	37/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	62
5	5	19	19	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		3	57	A3	3	63
5	5	19	19	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		7	61	C#4	4	57
5	5	39/2	39/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		1	55	G3	3	64
6	6	20	20	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	84
6	6	20	20	1.0	0	0	4/4	2	1	1/4	1/4	1		6	54	F#3	3	77
